ft1,dtsk1,dtfk4,dtsk4,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,ft10,dtsk10,ft11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,class
78,78,62,78,63,0,93,62,78,63,78,109,62,94,93,63,78,62,63,31,63,47,62,2
93,125,94,125,125,94,109,109,63,93,78,94,62,94,94,78,110,93,94,47,109,62,79,1
78,125,94,109,171,94,94,110,140,94,109,47,93,78,47,110,94,453,94,31,109,94,94,1
16,94,94,125,141,47,140,125,110,78,110,94,62,94,94,78,110,93,94,78,109,62,79,1
47,63,78,125,47,110,62,93,16,78,78,15,78,78,63,109,110,62,16,47,78,0,31,2
16,78,16,32,47,78,94,609,47,16,16,31,63,78,62,79,109,62,0,94,16,94,16,2
156,0,78,125,62,78,31,31,78,94,78,15,78,78,63,109,110,62,16,93,78,0,31,2
32,109,62,78,62,63,93,79,78,93,94,141,62,79,78,78,63,93,94,15,62,31,79,2
16,93,93,94,78,79,78,125,141,94,110,94,78,78,110,78,78,94,78,47,78,94,94,2
78,78,62,78,94,62,172,140,63,78,79,141,62,79,78,78,63,93,94,156,62,31,79,2
63,109,78,94,98,78,94,78,109,63,94,93,63,78,110,46,46,63,63,94,110,62,94,1
32,62,94,78,78,78,62,110,15,63,94,78,109,47,93,78,63,109,63,16,78,109,63,1
78,63,78,94,78,15,109,93,0,63,94,93,63,78,110,46,46,63,63,31,110,62,94,1
109,62,63,78,63,63,140,63,62,47,63,156,63,109,94,63,188,78,78,78,47,78,63,2
47,63,62,62,78,109,63,62,94,78,78,63,78,78,109,78,62,125,63,78,63,62,47,2
62,63,63,78,47,63,62,63,47,78,62,156,63,109,94,63,188,78,47,47,47,78,63,2
47,110,94,156,140,172,15,94,31,109,141,15,141,94,31,125,16,114,78,109,125,0,109,1
16,109,125,63,187,94,109,62,109,78,94,62,110,93,93,94,93,110,62,140,78,0,125,1
0,62,94,156,140,16,125,141,15,94,94,15,141,94,31,125,16,114,125,0,125,0,109,1
47,157,156,78,180,78,109,63,16,78,266,78,94,62,109,47,93,0,31,94,78,31,63,2
15,94,15,47,187,62,94,62,47,31,156,94,62,63,125,46,63,141,16,94,93,0,63,2
47,16,156,78,172,94,15,125,94,94,31,78,94,62,109,47,93,0,63,31,78,31,63,2
15,78,78,141,125,78,79,78,63,78,140,47,47,63,140,63,78,16,0,110,110,62,156,1
15,94,78,63,125,63,62,78,78,0,172,78,109,63,93,32,109,187,94,15,94,31,78,1
31,94,78,141,94,94,0,140,63,62,78,47,47,63,140,63,78,16,78,141,110,62,156,1
47,94,297,203,137,78,63,125,16,94,78,157,62,125,78,109,94,78,94,109,109,31,110,1
16,78,93,78,137,125,78,109,0,94,94,110,93,79,63,141,78,109,15,78,78,15,78,1
110,15,297,203,140,32,125,47,16,172,78,157,62,125,78,109,94,78,78,15,109,31,110,1
78,125,110,203,109,78,390,125,47,110,110,156,78,125,63,78,110,93,78,94,94,47,78,1
15,156,125,62,109,125,63,46,109,78,110,79,62,94,110,109,94,172,79,78,78,31,94,1
375,79,110,203,125,78,78,141,31,110,78,156,78,125,63,78,110,93,94,484,94,47,78,1
79,109,78,109,125,63,125,94,141,31,110,63,78,94,0,62,93,32,31,78,78,32,93,2
125,93,47,31,125,94,78,78,78,31,156,94,94,46,172,16,125,500,78,78,63,93,78,2
31,78,78,109,94,0,187,78,47,109,63,63,78,94,0,62,93,32,78,94,78,32,93,2
47,78,109,78,31,47,62,15,47,31,78,94,16,62,125,47,47,63,31,78,0,78,16,1
156,32,31,16,31,62,79,47,79,31,31,31,94,62,0,62,109,31,32,78,31,62,0,1
156,32,109,78,31,15,109,78,32,93,16,94,16,62,125,47,47,63,0,79,0,78,16,1
15,109,110,125,125,125,31,63,125,203,203,125,47,93,141,31,16,63,46,109,15,93,47,1
31,109,16,94,125,93,63,0,16,46,16,47,93,79,93,47,78,156,0,94,0,63,93,1
62,0,110,125,15,63,47,250,78,453,94,125,47,93,141,31,16,63,93,63,15,93,47,1
62,62,63,78,78,62,141,78,79,62,63,40,60,106,125,63,94,62,63,94,78,79,62,1
47,62,79,63,47,106,67,94,93,63,78,47,78,31,109,63,176,13,63,78,62,141,62,1
62,63,63,78,78,27,86,78,140,63,74,40,60,106,125,63,94,62,62,141,78,79,62,1
